"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/41834028","Private Room","33.3857","-112.01172","4.7","220","1","t","0","0","142","85","44176"
"http://airbnb.com/rooms/41842356","Private Room","33.50727","-112.29573","4.8","4","1","f","10","0","736","100","269376"
"http://airbnb.com/rooms/41855786","Entire Home","33.49487","-112.04113","5","249","Studio","f","0","0","121","72","31886"
"http://airbnb.com/rooms/41856644","Condo","33.55428","-112.06359","5","40","1","t","0","0","74","42","11373"
"http://airbnb.com/rooms/41861147","Entire Home","33.48822","-112.03043","4.8","74","1","t","120","0","347","41","55632"
"http://airbnb.com/rooms/41862376","Private Room","33.38444","-112.01323","4.9","135","Studio","t","0","0","115","75","31568"
"http://airbnb.com/rooms/41862871","Entire Home","33.37654","-112.00606","4.8","94","2","t","125","0","128","49","24904"
"http://airbnb.com/rooms/41874714","Condo","33.449","-111.965","4.8","195","2","t","215","10","137","54","35147"
"http://airbnb.com/rooms/41874837","Condo","33.448","-111.964","4","338","2","t","215","10","139","39","25196"
"http://airbnb.com/rooms/41878614","Entire Home","33.45612","-112.0738","4.5","264","2","t","123","2","293","92","109232"
"http://airbnb.com/rooms/41882913","Condo","33.598","-111.989","5","44","1","t","104","0","81","68","23624"
"http://airbnb.com/rooms/41886388","Entire Home","33.46255","-112.07018","4.7","280","2","t","123","2","250","79","84022"
"http://airbnb.com/rooms/41889761","Entire Home","33.48019","-112.10272","4.9","367","Studio","t","25","0","127","26","13057"
"http://airbnb.com/rooms/41904812","Condo","33.49106","-112.01492","4.9","353","2","t","150","0","128","49","27310"
"http://airbnb.com/rooms/41917249","Entire Home","33.49201","-112.06943","4.7","145","3","f","0","0","183","57","38178"
"http://airbnb.com/rooms/41917487","Condo","33.5988","-111.98817","4.8","311","1","t","90","0","155","42","26580"
"http://airbnb.com/rooms/41935996","Private Room","33.38591","-112.01262","5","128","Studio","t","0","0","133","77","37481"
"http://airbnb.com/rooms/41938831","Condo","33.51414","-112.02931","4.8","344","1","t","85","0","140","48","26133"
"http://airbnb.com/rooms/41939536","Private Room","33.38154","-112.04899","5","103","1","t","30","10","36","62","8915"
"http://airbnb.com/rooms/41940308","Entire Home","33.46336","-112.07696","5","16","2","f","35","0","1093","82","328828"
"http://airbnb.com/rooms/41952469","Entire Home","33.57719","-112.01446","5","18","Studio","t","50","0","79","100","32981"
"http://airbnb.com/rooms/41956069","Entire Home","33.56253","-112.07859","5","298","6","t","400","0","773","62","190147"
"http://airbnb.com/rooms/41963941","Private Room","33.38515","-112.01179","4.2","149","Studio","t","0","0","122","77","34382"
"http://airbnb.com/rooms/41966271","Private Room","33.38126","-112.04542","4.6","199","1","f","0","0","34","81","10079"
"http://airbnb.com/rooms/41975617","Private Room","33.38388","-112.01388","4.7","131","2","t","0","0","196","60","43043"
"http://airbnb.com/rooms/41975843","Private Room","33.38349","-112.1737","5","339","1","f","25","15","50","81","15633"
"http://airbnb.com/rooms/41980820","Entire Home","33.50041","-112.00781","5","159","1","f","30","0","75","86","25680"
"http://airbnb.com/rooms/41981150","Entire Home","33.48923","-112.00433","4.8","178","4","f","300","11","213","38","40727"
"http://airbnb.com/rooms/41987686","Entire Home","33.38206","-111.98693","5","4","2","f","100","0","173","100","99918"
"http://airbnb.com/rooms/41999538","Entire Home","33.5026","-112.0462","5","367","Studio","f","75","8","92","77","35426"
"http://airbnb.com/rooms/42004439","Entire Home","33.53372","-112.05076","5","336","3","t","165","6","228","82","78493"
